news_headline,news_article,news_category
AstraZeneca to test combining Oxford vaccine with Sputnik V vaccine,"AstraZeneca, which is developing a coronavirus vaccine with Oxford University, said it would investigate combining its vaccine with Russia's Sputnik V vaccine. ""Being able to combine different vaccines may be helpful to improve protection and/or to improve vaccine accessibility,"" AstraZeneca said. A 'mix and match' trial between AstraZeneca and Pfizer's COVID-19 vaccines was announced earlier.",science
There is one sitting at home: Hardik Pandya on India looking for another all-rounder,"Addressing India's want for another all-rounder following the first Australia-India ODI, Hardik Pandya said, ""Maybe we should look in...Pandya family only. There's one sitting at home."" He was referring to his brother Krunal, who wasn't selected in any of the Team India squads for Australia tour. Hardik added that he doesn't want to risk injury by rushing back to bowling.",sports
Mexico picks first woman to coordinate fight against drug cartels,"Mexican President Andres Manuel Lopez Obrador has chosen a woman to lead the security ministry for the first time, making her in charge of coordinating the fight against drug cartels and other criminals. Rosa Icela Rodriguez currently oversees Mexico's ports. Her nomination comes days after former Mexican Defence Minister General Salvador Cienfuegos' arrest in the US on drug trafficking charges.",world
Dhoni ends IPL 2020 as his statistically worst IPL season ever,"CSK captain MS Dhoni ended his IPL 2020 campaign as statistically his worst IPL season ever, scoring 200 runs. He slammed seven sixes in the tournament, his fewest in an IPL season. Further, this is the first time he failed to hit a fifty in an IPL season. His batting average of 25 is his lowest in an IPL season.",sports
Japan must compensate ex-Nissan Chairman for arbitrary arrest: UN panel,"The UN Working Group on Arbitrary Detention on Monday ruled that Former Nissan Chairman Carlos Ghosn's multiple arrests and detentions in Japan were ""arbitrary"" and urged Japanese government to pay compensation. Japan said the panel doesn't have an ""accurate understanding of the country's criminal justice system"". Ghosn, who was arrested in 2018 in Japan, fled to Lebanon last year.",automobile
Cricket South Africa's bio-bubble didn't appear to be bio-secure: Ashley Giles,"England's director of cricket Ashley Giles questioned Cricket South Africa's bio-secure bubble that wasn't effective enough to keep infections away. ""We were coming into a bio-secure environment and from very early on it appeared it wasn't bio-secure,"" Giles said. On Monday, England tour of South Africa became the first bilateral series to be suspended since resumption of cricket in July.",sports
Christian Bale to play villain in Marvel's 'Thor: Love and Thunder',"The upcoming Chris Hemsworth-starrer 'Thor: Love and Thunder' will feature Oscar winner actor Christian Bale as the main antagonist, Marvel Studios president Kevin Feige confirmed during Disney's Investor Day event. Christian will play Gorr the God Butcher in the fourth instalment of the 'Thor' franchise, which is being directed by filmmaker Taika Waititi.",entertainment
US startup claims to have made 1st 'no charging' solar EV,"US-based Aptera Motors has introduced the ""first solar electric vehicle"" that requires ""no charging"" for most daily use and has a range of up to over 1,600 kilometres per full charge. Every Aptera is designed to harvest enough sunlight to travel over 17,702 kilometres per year in most regions. Liquid-cooled electric motors propel Aptera from 0-100 kilometres/hour in 3.5 seconds.",technology
Joe Biden officially secures enough electors to become US President,"Joe Biden officially secured enough electors to become US President after Secretary of State of California Alex Padilla formally approved Biden's win in the state. Biden's tally of pledged electors has reached 279. A candidate needs 270 electoral votes to become US President. In November, Donald Trump's administration cleared the way for Biden to transition to the White House.",world
"Salman's 'Radhe' to release in theatres on Eid 2021, not on OTT","The makers of Salman Khan's upcoming film 'Radhe: Your Most Wanted Bhai' have denied the rumours of the film's OTT release. ""The producers are clear, #Radhe will release in cinemas, eyes #Eid2021 release,"" film trade analyst Taran Adarsh tweeted. 'Radhe: Your Most Wanted Bhai' was scheduled to release on Eid this year but was postponed due to the coronavirus pandemic.",entertainment
F1 driver who escaped burning car after 225-kmph crash shares video from hospital,"Formula One driver Romain Grosjean, whose car burst into flames and split into two after a 225-kmph crash at the Bahrain Grand Prix, took to social media to share a video from hospital. ""Hello everyone, I just wanted to say I am ok, well, sort of ok,"" Grosjean said in the video showing his bandaged hands.",sports
Journo tweets about being racially targeted 3 times in an hour at US airport,"A woman journalist tweeted about being racially targeted three times in an hour at a US airport, saying, ""An older man...said to me 'Ni Hao. Ching Chong'. 'Ching Chong' is a racial slur."" ""Minutes later...a young man...asked me if I spoke English,"" Amara Walker wrote. ""I'm still shaken and utterly confused as to the sequence of events today,"" she added.",world
"Bollywood lacks spine, should stand with their community: Vijender on farmers' protest","Amid the ongoing farmers' protests against the recently passed agricultural bills by the government, boxer Vijender Singh has criticised Bollywood for not supporting the farmers. ""When the oil prices were hitting the roof back in 2014, celebrities like Amitabh Bachchan and Akshay Kumar, were extremely critical of the then government...and now...they are nowhere to be found,"" he said.",sports
Got to know 10-15 mins before our bowling that I'll play: Chahal,"Leg-spinner Yuzvendra Chahal, who replaced Ravindra Jadeja as concussion substitute in the first T20I against Australia, was named Man of the Match for registering bowling figures of 4-0-25-3. Talking in the post-match conference, Chahal revealed that he got to know 10-15 minutes before Australia's innings that he'll play. ""I've played so many games and was mentally fit,"" he added.",sports
What were the most searched topics by Indians on Google in 2020?,"Google in its 'Year in Search' 2020 rankings revealed that top search term for Indians was 'Indian Premier League', followed by 'coronavirus'. Joe Biden, Arnab Goswami and Kanika Kapoor were the top three searched personalities. Food shelters, COVID-19 tests and crackers featured in the top 'Near me' searches, while 'How to' make paneer, dalgona coffee and increase immunity also trended.",technology
Bhim Army chief detained while on his way to join Bharat Bandh protest,"Bhim Army chief Chandrashekhar Azad on Tuesday said he'd been detained at his house by UP Police since morning. Azad was reportedly detained while on his way to join Bharat Bandh protest. ""India has again gone back into the Emergency era today. Our providers, the farmers need us, but the police under the Yogi government have detained me,"" said Azad.",politics
Has Tejashwi forgotten who made him Deputy CM?: Bihar CM in Assembly,"Bihar CM Nitish Kumar on Friday reportedly lost his temper in the Assembly after opposition leader Tejashwi Yadav made allegations against him during his hour-long speech. ""I've been listening to his (Tejashwi's) diatribe simply because he is the son of a friend whom I treat like a brother,"" said Nitish, adding, ""Has he forgotten who made him the deputy CM?""",politics
"Govt to set up 69,000 EV charging points across India: Gadkari","Road Transport and Highways Minister Nitin Gadkari said the government is planning to set up at least one e-charging kiosk at around 69,000 petrol pumps across the country to induce people to go for electric vehicles (EVs). Gadkari had asked industry stakeholders to work towards making India an EV hub by 2025. GST on EVs has been reduced to 5%.",automobile
Rare number plate 'O 10' from 1902 sells for â‚¹1.26 crore at auction in UK,"A rare number plate from 1902 was sold for Â£128,800 pounds (approximately â‚¹1.26 crore) at an auction in the UK. The number plate, first time on the market since 1902, was the only 10th number plate to be issued in Birmingham. The number plate was earlier used for cars including Austin A35s, Vauxhall Cavaliers, Cortinas, Peugeots and Jaguars.",automobile
Air pollution may affect mental health later in life: Study,"In a study of women aged 80 years and older, published in the Journal of the American Geriatrics Society, living in locations with higher exposure to air pollution was associated with increased depressive symptoms. Results also suggested that depressive symptoms might play a role in linking long-term air pollution exposure to memory decline more than 10 years after the exposure.",science
Indian fan proposes to Australian girlfriend in stands as Maxwell claps from field,"After the 20th over of India's innings in the second ODI against Australia, a Team India fan proposed to his Australian girlfriend in the stands. In a video that went viral, the fan can be seen going down on one knee and proposing to the girl, who nodded in affirmative. Australia all-rounder Glenn Maxwell was seen clapping from the field.",sports
Technical glitches improperly blocked Trump campaign ads: Facebook,"Facebook said technical glitches had disrupted the delivery of some ads from US President Donald Trump and Presidential candidate Joe Biden's campaigns. Facebook spotted ""unanticipated issues"" affecting the campaigns, including technical flaws that caused a number of ads to be ""paused improperly"". ""No ad was paused or rejected by a person, or because of any partisan consideration,"" Facebook said.",technology
SA-England ODI postponed an hour before start as SA player tests COVID-19 positive,England Cricket Board and Cricket South Africa have announced the postponement of the first ODI of the three-match series to Sunday. The ODI has been postponed just one hour before scheduled start today in Cape Town. This comes after a player from South Africa tested positive for COVID-19 after the teams' last round of scheduled testing performed on Thursday.,sports
'The Dirty Picture' actress Arya Banerjee found dead at her apartment,"'The Dirty Picture' actress Arya Banerjee was found dead at her apartment in Kolkata on Friday. Forensic experts found she was bleeding from her nose and had vomited. ""Like every day her maid had come to work and when she didn't get any response, she alerted her neighbours and the police were informed,"" a senior police officer said.",entertainment
Goa's former Governor Mridula Sinha passes away at 77,"Goa's former Governor and senior BJP leader Mridula Sinha passed away on Wednesday at the age of 77. She passed away days before her 78th birthday. Prime Minister Narendra Modi condoled her death and tweeted, ""Smt. Mridula Sinha Ji will be remembered for her efforts towards public service.""",politics
NASA shares 'how it started vs how it's going' pics of Stingray Nebula,"NASA has shared 'how it started vs how it's going' pictures of Stingray Nebula captured 20 years apart by its Hubble Space Telescope. NASA said the images ""show the nebula's changing shape and a dramatic loss of brightness."" In a blog shared by NASA, researchers said the nebula's central star SAO 244567 is cooling, which is leading to the changes.",science
Will be first to mass produce level 3 self-driving cars: Honda,"Japan's Honda Motor Company on Wednesday said it will be the world's first automaker to mass produce level 3 autonomous cars. There are six levels of vehicle autonomy from 0-5, ranging from basic functions like cruise control to fully self-driving cars. Currently, level 2 cars that require an alert driver are running on public roads.",automobile
Vidya's team's car stopped from entering forest as she 'rejected' minister's invite,"Vehicles of production team of Vidya Balan's upcoming film were allegedly stopped from entering a Madhya Pradesh forest for shooting. This was after she reportedly rejected Madhya Pradesh Forest Minister Vijay Shah's dinner invitation. Commenting on reports, Shah said, ""I was there on request from those who took permission for shoot and requested me for dinner. I said not possible.""",entertainment
"Referees, PSG, Basaksehir players take knee as Champions League game resumes","Players from Paris Saint-Germain and Istanbul Basaksehir took a knee together with the match officials before their Champions League game resumed on Wednesday. The match was called off on Tuesday after players from both sides left the field, alleging that the fourth official racially abused Basaksehir assistant coach. Earlier, players warmed up wearing T-shirts with 'No To Racism' message.",sports
US cybersecurity firm FireEye says it was hacked by a nation,"US cybersecurity firm FireEye said it was recently hit by a ""state-sponsored attack"" carried out by a ""highly sophisticated threat actor"". FireEye CEO Kevin Mandia concluded the attack was done by ""a nation with top-tier offensive capabilities"". The attack is being looked into by the Federal Bureau of Investigation (FBI) and Microsoft, whose initial analysis has supported FireEye's conclusion.",world
"Was sexualised as a child, it took away from my own sexuality: Portman","Natalie Portman opened up about her experience of being sexualised by older men as a child actress. ""I think [it] took away from my own sexuality...It made me afraid,"" she added. ""When I was in my teens I was like, 'I don't want to have any...make-out scenes'. I'd start choosing parts that were less sexy,"" the Oscar winner stated.",entertainment
"BJP, NCP both seek credit for Pune's Bhama Askhed project","After the Pune Municipal Corporation (PMC) claimed to have completed the work on Bhama Askhed dam project, both BJP and NCP have sought credit for the project. ""During BJP's tenure, the party had approved funds from the standing committee for this project,"" BJP's city unit president said. ""Project was approved by the Congress and NCP,"" NCP MLA Sunil Tingre responded.",politics
"UK PM Johnson announces ban on sale of petrol, diesel cars by 2030","UK PM Boris Johnson on Tuesday announced a ban on the sale of petrol and diesel cars in the country by 2030. The move is combined with $1.72 billion for new car charging infrastructure and $771 million in grants for buying electric cars. The ban is part of Johnson's  ""green industrial revolution"" to tackle climate change and generate more jobs.",automobile
Was aware of the net run rate but needed to win first: KKR's Morgan,"After the 60-run win against RR on Sunday, KKR captain Eoin Morgan said his side was more focussed on winning rather than the net run rate since a loss would have ended their campaign this season. ""Yes, I was aware of the numbers (about net run rate) but you need to first get yourself into a winning position,"" said Morgan.",sports
"Rohit fit to join Team India, call on playing Tests vs Aus after quarantine: BCCI","The BCCI on Saturday said that Rohit Sharma has completed his rehabilitation process at the NCA and is now ""clinically fit"". ""He will be reassessed by the Team India medical team post his quarantine [in Australia] to establish his fitness status and a call on his participation in the Border-Gavaskar Trophy will be taken accordingly,"" the BCCI added.",sports
Alexandria Ocasio-Cortez wins second term in US Congress,"Representative Alexandria Ocasio-Cortez of New York has won a second term in the US Congress, defeating John Cummings, a first-time Republican challenger. ""Serving NY-14 and fighting for working class families in Congress has been the greatest honour, privilege, & responsibility of my life,"" Cortez said on Twitter. Cummings had raised $10 million for his campaign while Cortez raised $17 million.",world
"Bricks hurled at BJP chief Nadda's convoy in Bengal, several injured","Bricks were hurled at the car convoy of BJP National President JP Nadda in West Bengal on Thursday. Protesters hurled stones at the vehicles of BJP leaders Kailash Vijayvargiya and Deepanjan Guha in Diamond Harbour. BJP leader Anupam Hazra claimed that many party workers were injured, adding that it was a pre-planned attack and the police were helping the protesters.",politics
He defined an era and a style: Craig on Connery's death,"Following the demise of Sir Sean Connery, Daniel Craig, who will play James Bond in his upcoming film 'No Time To Die', said, ""He (Connery) defined an era and a style."" Remembering Connery, who was the first actor to play Bond on screen, Craig added, ""He will continue to influence actors and filmmakers alike for years to come.""",entertainment
